applicationNumber,name,surname,FatherOrSpouseName,FatherSpouseIndicator,Gender,MaritalStatus,DOB,Nationality,ResidentialStatus,PAN,UID,CorrespondenceAddressType,CorrespondenceAddressFlatNo,CorrespondenceAddressApartmentName,CorrespondenceAddressStreet,CorrespondenceAddressCityTownVillage,CorrespondenceAddressPin,CorrespondenceAddressState,CorrespondenceAddressCountry,ContactISD,ContactSTD,ContactNo,ContactEmail,GrossAnnualIncome,NetWorth,NetWorthDate,Occupation,PEPIndicator,SpendIndicator,AnnualSpend,AnnualIncome,AnnualTax,CreditScore,Age
569,Russell,Estrada,Jason Estrada,F,M,M,02-Jun-70,India,N,,330-89-9035,bank statement,93,car,61555 Michelle Plains,Port Christopher,22703,Texas,India,091,521,9141559727,Russell.Estrada@yahoo.com,5001416.046352942,11804224.588235294,21-May-19,Architect,N,M,847031.3054111765,3388125.221644706,1613290.8247082357,3,49
570,Jacqueline,Lopez,Gary Lopez,S,F,M,08-Jun-45,India,N,,440-56-8994,aadhaar,100,on,6398 Kevin Expressway,Gardnerville,67808,Kansas,India,091,881,9544248879,Jacqueline.Lopez@hotmail.com,804333,8786295.11764706,21-May-19,Sports development officer,N,M,120980.622,604903.11,199429.89,1,74
571,Thomas,Schroeder,Jerry Schroeder,F,M,S,29-May-87,India,Y,CZGPS7654T,787-42-6118,aadhaar,15,pay,46728 Zachary Burg,West Kellymouth,54852,Arkansas,India,091,215,9897998374,Thomas.Schroeder@gmail.com,1987830.6171764706,6606442.411764706,21-May-19,Nurse- learning disability,N,L,231405.79146705876,1388434.7488023527,599395.8683741178,4,32
572,Grant,Johnson,Sarah Johnson,S,M,M,03-Jun-64,India,Y,BOOPJ8373A,206-27-2508,bank statement,32,visit,336 Pugh Pike,Tiffanybury,51214,Kentucky,India,091,491,9674499724,Grant.Johnson@gmail.com,2435196.2152941176,12204750.294117648,21-May-19,Dramatherapist,N,M,416307.13076764706,1665228.5230705882,769967.6922235294,1,55
573,Valerie,Walker,Richard Walker,S,F,M,28-May-90,India,Y,EQQPW6695B,732-17-3027,aadhaar,64,truth,13937 Evans Lake Apt. 174,Robertsborough,98909,South Dakota,India,091,785,9658752460,Valerie.Walker@gmail.com,1591238.5749411765,11982219.676470589,21-May-19,Structural engineer,N,L,185845.17028019606,1115071.0216811765,476167.55326,3,29
574,Stacie,Williams,Mark Williams,S,F,M,31-May-76,US,N,,622-21-8464,aadhaar,28,admit,448 Garcia Islands,New Sarah,39961,Nebraska,US,001,500,9529522410,Stacie.Williams@hotmail.com,854877.8774117648,9506728.764705881,21-May-19,General practice doctor,N,M,153368.5150547059,613474.0602188236,241403.81719294123,2,43
575,Luis,Murphy,Michelle Murphy,S,M,M,10-Jun-36,India,Y,FHEPM0253R,774-84-0622,bank statement,61,few,75924 Dominguez Fall,Apriltown,67941,Virginia,India,091,822,9727829246,Luis.Murphy@yahoo.com,2670198,16320682.529411765,21-May-19,Ophthalmologist,Y,M,463758.165,1855032.66,815165.3400000001,2,83
576,Virginia,Butler,Clifford Butler,S,F,M,30-May-82,India,Y,EKNPB1683L,230-22-2404,voter id,94,current,7543 Andrew Hollow Apt. 902,Jenniferstad,80664,North Carolina,India,091,885,9633489234,Virginia.Butler@yahoo.com,1642837.854235294,10155617.235294119,21-May-19,Arts development officer,N,M,231163.80187929413,1155819.0093964706,487018.8448388235,2,37
577,Ian,Garcia,Jessica Garcia,S,M,M,07-Jun-49,India,Y,AOXPG9395P,895-43-6083,bank statement,20,body,301 Kimberly Gateway Suite 427,West Brian,79682,Montana,India,091,514,9164038622,Ian.Garcia@gmail.com,3130576,15141745.529411765,21-May-19,Editor- commissioning,N,M,432697.184,2163485.92,967090.0800000001,2,70
578,Joseph,Burnett,Steven Burnett,F,M,M,30-May-81,India,N,,358-10-8927,voter id,27,ready,81992 Carolyn Avenue,Lake Alexa,67321,Louisiana,India,091,027,9377960102,Joseph.Burnett@gmail.com,2718064.201647059,8318164.529411765,21-May-19,Surveyor- rural practice,Y,M,375185.3089030589,1875926.5445152943,842137.6571317648,3,38
579,Darius,Walton,Steven Walton,F,M,S,26-May-97,India,Y,DVNPW9757K,864-35-4944,voter id,94,when,8687 Anderson Ville,West Lynn,59777,New Mexico,India,091,600,9365855030,Darius.Walton@hotmail.com,1268145.6430588234,11209250.823529411,21-May-19,Animator,N,M,227296.7481535294,909186.9926141176,358958.65044470585,3,22
580,Helen,Richmond,Christopher Richmond,F,F,S,03-Jun-67,India,Y,AYQPR0130T,412-65-0890,bank statement,81,television,274 Julia Plaza,Port Bobby,75188,Oklahoma,India,091,370,9223523375,Helen.Richmond@gmail.com,5277473.130823529,13510289.11764706,21-May-19,Restaurant manager,N,M,892829.6905894118,3571318.762357647,1706154.3684658823,3,52
581,Cynthia,Lara,Joseph Lara,F,F,S,02-Jun-70,India,Y,AVRPL5587R,520-87-1672,passport,92,rise,81741 Diane Union,Brendashire,61952,Indiana,India,091,748,9415749613,Cynthia.Lara@gmail.com,2123152.0463529415,9793867.235294119,21-May-19,Development worker- community,N,L,243281.3902741177,1459688.3416447062,663463.7047082355,4,49
582,William,Nichols,Henry Nichols,F,M,S,07-Jun-49,India,Y,EEPPN4316N,513-04-1741,voter id,33,his,38482 Sellers Mount Apt. 161,South Daniel,66533,Alabama,India,091,733,9162426005,William.Nichols@hotmail.com,3860829,13241755.588235294,21-May-19,Electronics engineer,N,M,530551.086,2652755.4299999997,1208073.57,3,70
583,Anthony,Garcia,Jessica Garcia,S,M,M,27-May-94,India,Y,EAHPG2354I,561-90-6506,passport,66,act,61447 Buchanan Run Apt. 011,North Carriestad,32725,Hawaii,India,091,657,9651476128,Anthony.Garcia@yahoo.com,411467.37058823527,4761749.235294118,21-May-19,Engineer- energy,N,M,66866.03942352941,334330.19711764704,77137.17347058823,1,25
584,William,Waller,Craig Waller,F,M,S,02-Jun-70,France,N,,453-18-2392,voter id,74,impact,544 Welch Springs Apt. 860,Christinefurt,54943,Minnesota,France,001,407,9793420564,William.Waller@hotmail.com,1808801.0463529413,4145695.970588235,21-May-19,Immigration officer,N,M,312268.29291117645,1249073.1716447058,559727.8747082354,2,49
585,Jacob,White,Andrew White,F,M,M,06-Jun-52,India,Y,EZDPW5343E,437-23-0670,voter id,51,positive,412 Elizabeth Hill,East Alexfurt,79914,Oklahoma,India,091,230,9763319529,Jacob.White@hotmail.com,4806850,13654076.05882353,21-May-19,Pension scheme manager,N,L,547764.9166666666,3286589.5,1520260.5,3,67
586,Richard,Lowe,Eric Lowe,F,M,S,29-May-87,India,Y,FLYPL1769R,678-29-4900,bank statement,76,two,1327 Heather Turnpike,West Brendamouth,18906,Florida,India,091,757,9810785517,Richard.Lowe@gmail.com,1187141.6171764706,3857013.117647059,21-May-19,Environmental manager,N,M,170394.6237604706,851973.1188023529,335168.49837411765,2,32
587,Drew,Rodriguez,Janet Rodriguez,S,M,M,25-May-00,India,Y,DLLPR3546B,617-48-0070,passport,46,job,75805 Crystal Trafficway Suite 034,Kimberlyview,47327,Maryland,India,091,570,9722997851,Drew.Rodriguez@yahoo.com,2330390.6008235295,9103903.352941176,21-May-19,Aeronautical engineer,N,L,270295.57787627453,1621773.4672576473,708617.1335658823,3,19
588,Daniel,Vincent,Kathy Vincent,S,M,M,27-May-95,India,Y,CBGPV8582A,611-62-0659,voter id,47,statement,012 Clarke Trail Apt. 181,Hubbardmouth,16633,Missouri,India,091,674,9133554147,Daniel.Vincent@hotmail.com,567950.337882353,7217162.705882353,21-May-19,Engineer- control and instrumentation,N,L,62781.12897882353,439467.90285176475,128482.43503058825,3,24
589,Rita,King,Timothy King,F,F,S,30-May-80,India,N,,798-49-4746,passport,82,politics,36663 Paul Village,Briantown,25623,West Virginia,India,091,711,9632344250,Rita.King@gmail.com,1389510.0490588236,5854314.5,21-May-19,Nurse- learning disability,N,M,197100.22892682356,985501.1446341177,404008.9044247059,3,39
590,Kimberly,Vargas,Charles Vargas,F,F,M,26-May-98,India,Y,FGQPV5415W,709-40-3362,voter id,23,where,03235 Beth Inlet Suite 699,Adamsburgh,38969,Virginia,India,091,258,9516257718,Kimberly.Vargas@gmail.com,894249.5912941176,8299825.735294118,21-May-19,Administrator- education,N,L,94138.67936840335,658970.7555788235,235278.83571529412,3,21
591,Kevin,Beck,Douglas Beck,F,M,M,09-Jun-42,India,Y,FTMPB0203N,699-35-6397,passport,65,others,928 Raymond Junctions Apt. 504,South Haley,03479,Connecticut,India,091,457,9121709717,Kevin.Beck@hotmail.com,539710,1322526.4117647058,21-May-19,Data processing manager,N,M,85521.14000000001,427605.7,112104.3,0,77
592,Karen,Pierce,Larry Pierce,S,F,M,02-Jun-70,US,N,,533-91-8946,passport,76,financial,810 Zachary Squares Suite 413,South Erik,09005,Rhode Island,US,001,668,9031594219,Karen.Pierce@hotmail.com,1396914.0463529413,5292308.117647059,21-May-19,Surveyor- hydrographic,N,M,194621.77632894123,973108.881644706,423805.16470823536,2,49
593,Charles,Olsen,Shannon Olsen,S,M,M,03-Jun-65,India,Y,CHKPO9210D,514-48-9705,bank statement,48,indeed,46377 Pearson Burgs Apt. 628,Port Joyfort,31039,Alaska,India,091,444,9552815681,Charles.Olsen@yahoo.com,1287183.5204705882,1739210.6470588236,21-May-19,Metallurgist,N,H,448324.12641647056,896648.2528329411,390535.2676376471,0,54
594,Billy,Love,Kimberly Love,S,M,M,10-Jun-38,US,N,,497-89-3929,bank statement,72,list,6501 Deborah Points,New Philipland,25695,Mississippi,US,001,582,9610003857,Billy.Love@gmail.com,1793467,6595554.382352941,21-May-19,Sports administrator,N,L,211270.4816666667,1267622.8900000001,525844.11,2,81
595,Michael,Morgan,Cynthia Morgan,S,M,M,05-Jun-56,India,Y,CABPM1300L,660-55-2934,passport,100,public,9247 Jackson Pike Suite 020,Markport,46347,Minnesota,India,091,814,9539919558,Michael.Morgan@yahoo.com,4534572,16552657.176470589,21-May-19,Manufacturing engineer,N,H,1552081.62,3104163.24,1430408.76,2,63
596,Mary,Mitchell,Mark Mitchell,S,F,M,26-May-99,India,Y,DHKPM4951J,115-89-7915,aadhaar,17,design,22713 Monroe Groves,New Terry,41816,Connecticut,India,091,719,9107343016,Mary.Mitchell@yahoo.com,832100.4482352941,4403903.470588235,21-May-19,Toxicologist,N,M,123524.98947529412,617624.9473764705,214475.50085882354,1,20
597,Jason,Hoffman,Tanya Hoffman,S,M,M,10-Jun-38,India,Y,CHYPH8443R,044-81-9536,passport,21,Mrs,7441 Stewart Estate,Melissaborough,02700,Montana,India,091,021,9488437585,Jason.Hoffman@gmail.com,2023226,10513291.411764706,21-May-19,Community arts worker,N,H,473853.80666666664,1421561.42,601664.5800000001,1,81
598,Joseph,Brown,Theresa Brown,S,M,M,25-May-02,India,N,,624-88-5997,bank statement,93,and,850 Bailey Island,Meganland,87013,Maryland,India,091,843,9736519219,Joseph.Brown@hotmail.com,180866.40600000002,3637691.5,21-May-19,Engineer- site,N,M,43966.601500000004,175866.40600000002,5000.0,1,17
599,Linda,Carpenter,Ian Carpenter,S,F,M,11-Jun-33,India,N,,049-95-8432,passport,17,plant,8128 Jennifer Haven Apt. 262,Dixonshire,78174,Oklahoma,India,091,238,9864390966,Linda.Carpenter@gmail.com,4638331,19479299.0,21-May-19,Geographical information systems officer,N,M,634736.354,3173681.77,1464649.23,2,86
600,Robert,King,Anthony King,F,M,S,29-May-85,UK,N,,603-21-1982,aadhaar,87,collection,096 Emily Stravenue Suite 994,New Jasonmouth,76708,Oklahoma,UK,001,871,9684352724,Robert.King@yahoo.com,2196462.312,13071295.0,21-May-19,Teacher- special educational needs,N,L,254604.95817333332,1527629.74904,668832.56296,4,34
601,Richard,Anderson,Lynn Anderson,S,M,M,29-May-84,India,Y,BGMPA0357Y,491-75-5126,aadhaar,47,forward,037 Duane Prairie,West Karenborough,52472,Nebraska,India,091,058,9624008686,Richard.Anderson@yahoo.com,2160189.1594117647,4347419.117647059,21-May-19,Electronics engineer,N,L,250505.43652647058,1503032.6191588235,657156.5402529412,2,35
602,Daniel,Gonzalez,Jacob Gonzalez,F,M,S,28-May-89,India,N,,266-31-6151,bank statement,19,onto,054 Franco Spurs Apt. 884,Boyerville,56652,New Hampshire,India,091,690,9788634132,Daniel.Gonzalez@yahoo.com,899861.9223529412,10720791.352941176,21-May-19,Designer- multimedia,N,L,110013.99309411764,660083.9585647059,239777.96378823533,4,30
603,Carrie,Martinez,Kelly Martinez,S,F,M,04-Jun-63,India,N,,033-36-2774,voter id,29,catch,3398 Roy Greens,Port Crystalland,04669,Oklahoma,India,091,044,9221698134,Carrie.Martinez@hotmail.com,937728.910117647,2158515.6470588236,21-May-19,Chemical engineer,N,M,165334.29832705882,661337.1933082353,276391.71680941177,0,56
604,Jack,Webster,William Webster,F,M,S,01-Jun-72,India,Y,DKWPW7687Y,215-99-3569,bank statement,62,four,85429 Sarah Fort Apt. 032,South Joseph,90569,Alaska,India,091,837,9388193862,Jack.Webster@hotmail.com,1779041.6567058824,3069985.4411764704,21-May-19,Games developer,N,M,307577.71279235295,1230310.8511694118,548730.8055364706,2,47
605,Sarah,Anderson,Brian Anderson,F,F,M,02-Jun-68,US,N,,233-87-4643,bank statement,20,simply,9696 Hunter Crest Apt. 284,North Monica,36288,Tennessee,US,001,730,9768804902,Sarah.Anderson@yahoo.com,1649173.436,3055052.0,21-May-19,Veterinary surgeon,N,M,228189.24042400002,1140946.20212,508227.23388,0,51
606,Erin,Munoz,Ryan Munoz,S,F,M,27-May-95,India,Y,BBOPM6005J,850-79-9100,voter id,14,dinner,89126 Patrick Trail Suite 132,Port Jamesland,05826,Ohio,India,091,237,9511450124,Erin.Munoz@gmail.com,5222544.675764706,11614782.588235294,21-May-19,Designer- graphic,N,M,889511.5273082353,3558046.109232941,1664498.5665317648,3,24
607,Sandra,Bennett,Andrew Bennett,S,F,M,27-May-94,India,Y,CVXPB0219Z,741-35-6351,passport,51,different,94493 Stephanie Ramp,Garciastad,76892,Virginia,India,091,532,9574117493,Sandra.Bennett@gmail.com,660944.6852941177,1176184.1764705882,21-May-19,Ranger/warden,N,M,125369.99949264705,501479.9979705882,159464.68732352945,1,25
608,Zachary,Barry,Sean Barry,F,M,S,31-May-78,India,N,,430-02-0636,passport,76,pretty,48522 Richards Parkway Suite 094,East Meagan,27199,Utah,India,091,787,9745062680,Zachary.Barry@yahoo.com,3025443.487764706,6106381.794117647,21-May-19,Financial adviser,N,L,344821.5816239215,2068929.4897435294,956513.9980211764,5,41
609,Scott,Barker,Jenna Barker,S,M,M,30-May-81,US,N,,630-78-2906,bank statement,92,west,9056 Ibarra Islands,Banksmouth,10719,Arkansas,US,001,276,9447328683,Scott.Barker@yahoo.com,1093747.7016470588,3908306.4117647056,21-May-19,Public relations account executive,N,H,262544.8298384313,787634.4895152941,306113.21213176474,1,38
610,Joshua,Miller,Lisa Miller,S,M,M,27-May-93,US,N,,168-22-2256,bank statement,33,line,48850 Miller Fields Suite 141,East Amandaland,86976,Kentucky,US,001,363,9548457026,Joshua.Miller@hotmail.com,492940.5327058824,7189228.705882353,21-May-19,Programmer- multimedia,Y,H,129541.03269647059,388623.0980894118,104317.43461647061,2,26
611,Austin,Conway,Wesley Conway,F,M,S,31-May-76,India,Y,FDGPC8976B,091-50-8491,aadhaar,100,term,1211 Dunn Parkway Suite 702,Shanebury,35241,Nebraska,India,091,185,9110920986,Austin.Conway@hotmail.com,4630737.877411765,13417059.11764706,21-May-19,Architectural technologist,N,L,449042.8943169748,3143300.260218824,1487437.6171929413,5,43
612,Jeffrey,Mclean,Lauren Mclean,S,M,M,03-Jun-64,India,N,,589-40-1922,bank statement,83,movie,1753 Wood Skyway,Lake Kimberly,82573,Tennessee,India,091,655,9565691088,Jeffrey.Mclean@yahoo.com,5505543.215294117,17288121.088235296,21-May-19,Economist,N,H,1861180.506535294,3722361.013070588,1783182.2022235293,2,55
613,Thomas,Hudson,Susan Hudson,S,M,M,09-Jun-41,India,Y,EINPH2496E,779-47-1951,passport,61,along,158 Jonathan Squares Suite 483,South Kimberly,09185,Oklahoma,India,091,500,9641888751,Thomas.Hudson@yahoo.com,3085742,9617724.176470589,21-May-19,Scientist- forensic,N,L,304778.1628571428,2133447.1399999997,952294.8600000001,3,78
614,Casey,Zimmerman,Meredith Zimmerman,S,M,M,28-May-89,India,Y,AXZPZ4203M,226-64-1878,passport,42,seek,02018 Nunez Underpass,New William,57442,Alaska,India,091,066,9488706979,Casey.Zimmerman@hotmail.com,1313997.4223529412,9025959.705882354,21-May-19,Education administrator,N,H,468777.3717823529,937554.7435647058,376442.67878823535,2,30
615,Jeffrey,Martin,Alison Martin,S,M,M,04-Jun-60,India,Y,CRIPM0118J,452-80-3283,passport,2,mission,803 Davis Flats Apt. 471,Port Gregorybury,33565,South Dakota,India,091,260,9427627368,Jeffrey.Martin@yahoo.com,4150722.9945882354,14791499.529411765,21-May-19,Geologist- engineering,N,M,562455.7048042354,2812278.5240211766,1338444.470567059,2,59
616,Sandra,Taylor,Cody Taylor,S,F,M,27-May-92,India,N,,678-12-3415,aadhaar,15,remain,475 Wilson Summit Apt. 126,Elizabethchester,92678,Montana,India,091,498,9512507944,Sandra.Taylor@yahoo.com,1257942.8801176471,11255359.61764706,21-May-19,Sales professional- IT,N,H,297646.458912549,892939.3767376471,365003.50338,2,27
617,Lisa,King,Jeff King,S,F,M,30-May-81,India,Y,BVCPK0886S,586-21-6251,aadhaar,20,every,6160 Willis Roads Suite 091,Claireton,87602,Texas,India,091,723,9802620429,Lisa.King@gmail.com,2355533.4032941177,10527680.588235294,21-May-19,Sports therapist,N,H,816515.4548094117,1633030.9096188233,722502.4936752942,2,38
618,Joanna,Powell,Michael Powell,F,F,S,30-May-83,UK,N,,060-53-5856,bank statement,71,baby,65112 Tracy Lodge Suite 380,Phillipsburgh,24604,Michigan,UK,001,256,9062764546,Joanna.Powell@gmail.com,1592790.5068235295,5712975.176470589,21-May-19,Designer- furniture,N,M,280645.3510694118,1122581.4042776471,470209.1025458824,3,36
619,Corey,Russo,Angela Russo,S,M,M,04-Jun-61,India,Y,AZIPR8791V,394-41-2727,passport,54,price,592 Randy Mills Suite 098,Port Daniellefort,75762,Tennessee,India,091,837,9649962581,Corey.Russo@gmail.com,4703038.299764706,14103741.529411765,21-May-19,Analytical chemist,N,M,795729.5034458824,3182918.0137835294,1520120.2859811767,2,58
620,Brandon,Faulkner,Michelle Faulkner,S,M,M,29-May-85,India,Y,FIRPF9557Z,802-62-6424,passport,17,term,82015 Mckee Green,Davidtown,80573,Connecticut,India,091,065,9661976857,Brandon.Faulkner@yahoo.com,1330511.312,4493543.0,21-May-19,Sports development officer,N,H,315814.1930133333,947442.57904,383068.73296,1,34
621,Jennifer,Bridges DDS,Gene Bridges DDS,S,F,M,02-Jun-69,India,Y,ACBPB4415X,127-14-8011,passport,9,PM,684 Simpson Harbor,Davidfort,99572,Kansas,India,091,016,9659666323,Jennifer.Bridges DDS@hotmail.com,4976273.74117647,12310636.411764706,21-May-19,Arts administrator,N,M,842672.9104705881,3370691.6418823525,1605582.0992941177,2,50
622,Justin,Scott,Barbara Scott,S,M,M,30-May-82,India,N,,514-40-1142,passport,85,establish,101 Angela Rue Apt. 216,South Lisashire,48891,Missouri,India,091,424,9278338857,Justin.Scott@hotmail.com,1240354.354235294,9759652.735294119,21-May-19,Speech and language therapist,N,L,126593.58062806721,886155.0643964706,354199.2898388235,3,37
623,Omar,Howard,Joshua Howard,F,M,S,29-May-87,India,Y,AOVPH8408E,776-19-0644,passport,46,standard,656 Noah Way Suite 513,New Chadshire,02794,Kentucky,India,091,029,9509293050,Omar.Howard@hotmail.com,1019920.1171764706,7529010.235294118,21-May-19,Travel agency manager,N,M,147986.9427604706,739934.713802353,279985.4033741176,3,32
624,Jessica,Clark,Jimmy Clark,S,F,M,26-May-98,India,Y,CJUPC7074T,483-19-6465,passport,73,group,1468 Ian Fords,North Gary,04848,Illinois,India,091,378,9459616371,Jessica.Clark@yahoo.com,1036963.7956470589,4893673.382352941,21-May-19,Designer- multimedia,Y,M,150917.85449905883,754589.2724952941,282374.52315176476,1,21
625,Steven,Velazquez,Andrea Velazquez,S,M,M,09-Jun-43,UK,N,,890-12-1346,aadhaar,100,use,2461 Daugherty Harbor,East Billymouth,82558,Iowa,UK,001,336,9746440960,Steven.Velazquez@gmail.com,3888606,11574288.11764706,21-May-19,Designer- furniture,N,M,667841.505,2671366.02,1217239.98,2,76
626,Katrina,Brown,Adam Brown,S,F,M,11-Jun-32,India,Y,CFXPB3703T,652-14-3019,aadhaar,35,daughter,0775 Miller Springs,Guerreroland,02424,Iowa,India,091,045,9210624800,Katrina.Brown@gmail.com,1497852,5267861.94117647,21-May-19,Politician's assistant,N,M,267390.20999999996,1069560.8399999999,428291.16000000003,1,87
627,Pamela,Curtis,Matthew Curtis,S,F,M,09-Jun-43,India,Y,BDCPC9887U,888-62-9617,bank statement,91,also,571 Williams Stravenue Suite 664,North Andrewstad,78731,Ohio,India,091,815,9067722956,Pamela.Curtis@hotmail.com,1032737,7520321.94117647,21-May-19,Medical sales representative,N,M,151586.758,757933.79,274803.21,1,76
628,Donna,King,Jeffrey King,S,F,M,31-May-76,India,Y,BZXPK3966M,884-98-6961,voter id,95,trip,00762 Lyons Lock,Angelamouth,30825,Delaware,India,091,589,9782386799,Donna.King@gmail.com,4950640.877411765,7251266.323529412,21-May-19,Retail banker,N,H,1119211.756739608,3357635.270218824,1593005.6071929412,3,43
629,Laura,Brown,Todd Brown,F,F,S,01-Jun-72,India,Y,FUMPB6644N,188-95-5182,aadhaar,69,four,28887 Katherine Road Suite 678,Lake Bryanville,77695,Oklahoma,India,091,606,9821534192,Laura.Brown@gmail.com,1648314.6567058824,3508406.5882352944,21-May-19,Forensic psychologist,N,M,228544.75223388235,1142723.7611694117,505590.89553647063,2,47
630,Daniel,Turner,Madison Turner,S,M,M,06-Jun-52,India,N,,269-31-0046,passport,21,president,631 Gonzalez Road Apt. 625,West Cory,16938,Michigan,India,091,509,9535336866,Daniel.Turner@gmail.com,1817827,12165768.5,21-May-19,Company secretary,N,L,213990.68166666664,1283944.0899999999,533882.91,2,67
631,Linda,Aguilar,Kevin Aguilar,S,F,M,30-May-81,India,N,,803-70-8489,bank statement,65,final,008 Larson Parks Apt. 787,North Kevinchester,37411,Texas,India,091,019,9580951080,Linda.Aguilar@yahoo.com,2764683.701647059,12795847.823529411,21-May-19,Research officer- political party,N,M,381432.32190305885,1907161.6095152942,857522.0921317649,3,38
632,John,Ferguson,Glen Ferguson,F,M,S,06-Jun-55,India,Y,COCPF8009O,469-07-1339,bank statement,96,itself,29193 Arthur Rapid,East Stevenville,12408,Massachusetts,India,091,521,9792254532,John.Ferguson@hotmail.com,691010,8562018.705882354,21-May-19,Secondary school teacher,N,L,88162.78333333333,528976.7,162033.30000000002,3,64
633,Walter,Ward,Corey Ward,F,M,S,07-Jun-51,India,N,,055-37-4327,passport,34,it,403 Serrano Row,Lake Brianland,30078,New Hampshire,India,091,333,9625131291,Walter.Ward@gmail.com,3847347,11222221.0,21-May-19,Designer- jewellery,Y,H,881240.8300000001,2643722.49,1203624.51,3,68
634,Lisa,Chang,Patrick Chang,S,F,M,01-Jun-75,India,Y,CIAPC9751J,855-74-4490,bank statement,5,feeling,4650 Melvin Field,Port Nancy,57626,Michigan,India,091,588,9691709619,Lisa.Chang@gmail.com,3246913.572235294,9499073.823529411,21-May-19,Camera operator,Y,L,369258.2900760784,2215549.7404564703,1031363.8317788236,4,44
635,Erika,Fischer,Benjamin Fischer,S,F,M,01-Jun-75,India,Y,EHNPF7082O,520-99-5000,passport,7,score,109 Perry Lakes Suite 832,Benjaminstad,04230,South Carolina,India,091,162,9396371363,Erika.Fischer@gmail.com,2840035.572235294,2978192.8235294116,21-May-19,Conservation officer- historic buildings,Y,M,485735.3701141176,1942941.4804564705,897094.0917788236,2,44
636,Emily,Ross,Daniel Ross,F,F,S,04-Jun-63,India,Y,FDBPR6955L,759-32-0227,voter id,55,traditional,2110 Alyssa Crossing Apt. 940,Charlesburgh,35204,New Jersey,India,091,398,9891586513,Emily.Ross@hotmail.com,4298124.910117647,15278628.529411765,21-May-19,Development worker- international aid,N,M,728200.6283270587,2912802.513308235,1385322.3968094117,3,56
637,Todd,Fisher,Megan Fisher,S,M,M,08-Jun-47,India,Y,CCGPF2665C,651-74-9217,voter id,78,coach,6204 Nicole Manors,Rachelberg,19761,Minnesota,India,091,864,9176536639,Todd.Fisher@hotmail.com,2114783,12416033.0,21-May-19,Engineer- civil (consulting),N,L,247150.7683333333,1482904.6099999999,631878.39,2,72
638,Steven,Lewis,Ashlee Lewis,S,M,M,04-Jun-62,India,Y,DZKPL7608V,454-61-4640,voter id,1,operation,6630 Watkins Green,Jonesborough,36139,California,India,091,799,9371789710,Steven.Lewis@gmail.com,5313667.604941176,13803551.823529411,21-May-19,Best boy,N,M,898156.9708864705,3592627.883545882,1721039.721395294,2,57
639,Mr.,Ralph Beltran,Mia Ralph Beltran,S,M,M,11-Jun-33,India,Y,EJIPR5664R,735-94-6333,voter id,64,air,9019 Burton Garden Suite 775,Meyerside,18882,New Jersey,India,091,229,9265488939,Mr..Ralph Beltran@hotmail.com,2168556,10150073.05882353,21-May-19,Aid worker,N,L,253155.41999999998,1518932.52,649623.48,2,86
640,Margaret,Murray,Corey Murray,S,F,M,26-May-97,France,N,,607-73-1506,bank statement,87,free,451 Elizabeth Spring,Kaitlynborough,14462,Utah,France,001,553,9536071406,Margaret.Murray@gmail.com,1560403.6430588234,5464245.05882353,21-May-19,Trading standards officer,N,M,276249.9631535294,1104999.8526141176,455403.79044470587,2,22
641,Alexander,Duran,Amber Duran,S,M,M,02-Jun-71,India,Y,AMMPD2333O,158-93-6343,aadhaar,96,affect,0068 Veronica Points,Mitchelltown,21285,Hawaii,India,091,590,9690234870,Alexander.Duran@yahoo.com,1075598.3515294117,5204033.647058823,21-May-19,Company secretary,N,M,151683.12028141177,758415.6014070588,317182.7501223529,2,48
642,Michael,Davis,Shannon Davis,S,M,M,04-Jun-63,India,Y,EKFPD8455C,831-20-3487,voter id,94,yard,7881 Michael Port Suite 012,North Jamieborough,34361,New Mexico,India,091,888,9717941057,Michael.Davis@yahoo.com,3209145.910117647,6201508.05882353,21-May-19,Conservator- museum/gallery,N,M,436637.31666164706,2183186.5833082353,1025959.3268094118,2,56
643,James,Mann,Jasmine Mann,S,M,M,29-May-86,UK,N,,252-27-7164,passport,9,PM,9216 Deborah Parkway Suite 090,North Brianside,90732,Arizona,UK,001,309,9725903055,James.Mann@yahoo.com,2443655.964588235,12242535.088235294,21-May-19,Administrator- charities/voluntary organisations,N,M,338708.72278423526,1693543.6139211762,750112.3506670588,2,33
644,Thomas,Erickson,Tiffany Erickson,S,M,M,05-Jun-57,India,Y,AYCPE1859B,708-94-1981,bank statement,74,environment,7765 Darren Field Suite 109,Sheaton,60849,Iowa,India,091,260,9430052698,Thomas.Erickson@yahoo.com,2044186,9483113.294117648,21-May-19,Secondary school teacher,N,M,358901.155,1435604.62,608581.38,1,62
645,Kevin,Williams,Melissa Williams,S,M,M,09-Jun-43,India,N,,127-56-0090,passport,32,also,1314 Miller Circles,New Michele,15581,Louisiana,India,091,781,9620401596,Kevin.Williams@gmail.com,4166655,13854788.411764706,21-May-19,Teacher- English as a foreign language,N,M,571531.7699999999,2857658.8499999996,1308996.1500000001,2,76
646,Mark,Pratt,Cynthia Pratt,S,M,M,07-Jun-49,France,N,,270-48-1861,aadhaar,78,same,857 Patrick Meadows,Juliaville,63121,Texas,France,001,792,9525030231,Mark.Pratt@hotmail.com,1916777,5575221.588235294,21-May-19,Energy manager,N,M,270048.11799999996,1350240.5899999999,566536.41,1,70
